id,feeder_id,batch_id,pool_id,ts_utc,ts_local,feed_amount_g,run_time_s,status,leftover_estimate_g,notes,checksum,created_at,updated_at
25,126437392,2,4,2025-12-04 10:39:16.885,2025-12-04 19:39:16.885,,,ok,,状态查询 - AI,21fcd49d7903f4dda3863a3c859229af,2025-12-04 18:39:16,2025-12-04 18:39:16
26,126437392,2,4,2025-12-04 10:49:37.060,2025-12-04 19:49:37.060,,,ok,,状态查询 - AI,e9db54552ff7c82391a45eac068fdd7d,2025-12-04 18:49:37,2025-12-04 18:49:37
27,126437392,2,4,2025-12-04 10:59:16.904,2025-12-04 19:59:16.904,,,ok,,状态查询 - AI,bbd3c74ca66065c860e774fa9173261a,2025-12-04 18:59:17,2025-12-04 18:59:17
28,126437392,2,4,2025-12-04 11:09:17.248,2025-12-04 20:09:17.248,,,ok,,状态查询 - AI,0dc5612844051c057868359efbeaf562,2025-12-04 19:09:17,2025-12-04 19:09:17
29,126437392,2,4,2025-12-04 11:19:17.338,2025-12-04 20:19:17.338,,,ok,,状态查询 - AI,da1809c18f0f2d6e75d21f34833d69c7,2025-12-04 19:19:17,2025-12-04 19:19:17
30,948835418,2,4,2025-12-04 11:28:42.038,2025-12-04 20:28:42.038,,,ok,,状态查询 - AI,06a7bd1d6fedb648b3b73c030c00c9c3,2025-12-04 19:28:42,2025-12-04 19:28:42
31,948835418,2,4,2025-12-04 11:38:41.868,2025-12-04 20:38:41.868,,,ok,,状态查询 - AI,5f5043a75e408980e55c010b4d803c68,2025-12-04 19:38:41,2025-12-04 19:38:41
32,948835418,2,4,2025-12-04 11:48:41.957,2025-12-04 20:48:41.957,,,ok,,状态查询 - AI,1aa4632cd32f46844412dbed9de2eca5,2025-12-04 19:48:42,2025-12-04 19:48:42
33,948835418,2,4,2025-12-04 11:58:42.229,2025-12-04 20:58:42.229,,,ok,,状态查询 - AI,740492afaf9da3995ba9671d0aab2ef5,2025-12-04 19:58:42,2025-12-04 19:58:42
34,948835418,2,4,2025-12-04 12:08:43.317,2025-12-04 21:08:43.317,,,ok,,状态查询 - AI,9e7c9692c83f516269f6bf256ff850fc,2025-12-04 20:08:43,2025-12-04 20:08:43
35,948835418,2,4,2025-12-04 12:18:44.118,2025-12-04 21:18:44.118,,,ok,,状态查询 - AI,cffe29d782c229aea8cd42a91a7e4e4d,2025-12-04 20:18:44,2025-12-04 20:18:44
36,948835418,2,4,2025-12-04 12:28:43.142,2025-12-04 21:28:43.142,,,ok,,状态查询 - AI,22230364db39ab4783f1d01da4b18380,2025-12-04 20:28:43,2025-12-04 20:28:43
37,948835418,2,4,2025-12-04 12:38:43.006,2025-12-04 21:38:43.006,,,ok,,状态查询 - AI,8547afb9fdd649eaaec65bb62df8f7ce,2025-12-04 20:38:43,2025-12-04 20:38:43
38,948835418,2,4,2025-12-04 12:48:43.736,2025-12-04 21:48:43.736,,,ok,,状态查询 - AI,8f07d6808e4f2020975ce1b7fa5ee1b5,2025-12-04 20:48:43,2025-12-04 20:48:43
39,57797421,2,4,2025-12-04 12:59:15.439,2025-12-04 21:59:15.439,,,ok,,状态查询 - AI,9c29fc4a4338bd3120bf02f97f289dd8,2025-12-04 20:59:15,2025-12-04 20:59:15
40,57797421,2,4,2025-12-04 13:00:43.979,2025-12-04 22:00:43.979,68.000,120,ok,,定时投喂 4 份,93623c935af10a018b560a7716546c42,2025-12-04 21:00:44,2025-12-04 21:00:44
41,997041478,2,4,2025-12-05 02:26:38.326,2025-12-05 11:26:38.326,,,ok,,状态查询 - AI,9a27aa411220d656e8f0542ae71968b8,2025-12-05 10:26:38,2025-12-05 10:26:38
42,997041478,2,4,2025-12-05 02:36:38.590,2025-12-05 11:36:38.590,,,ok,,状态查询 - AI,d0a612daacf3f7e1daca1b3f7a3e4a07,2025-12-05 10:36:38,2025-12-05 10:36:38
43,997041478,2,4,2025-12-05 02:46:38.194,2025-12-05 11:46:38.194,,,ok,,状态查询 - AI,d5eba8f13102e140b31d24c18e589a41,2025-12-05 10:46:38,2025-12-05 10:46:38
44,997041478,2,4,2025-12-05 02:56:38.724,2025-12-05 11:56:38.724,,,ok,,状态查询 - AI,966462ab262d9058cc9456facec6e913,2025-12-05 10:56:38,2025-12-05 10:56:38
45,997041478,2,4,2025-12-05 03:06:38.740,2025-12-05 12:06:38.740,,,ok,,状态查询 - AI,5a12a7b3fce64dd590612c06fc941661,2025-12-05 11:06:38,2025-12-05 11:06:38
46,997041478,2,4,2025-12-05 03:16:39.291,2025-12-05 12:16:39.291,,,ok,,状态查询 - AI,38b5fb91a98132c9b0963cec7d670266,2025-12-05 11:16:39,2025-12-05 11:16:39
47,997041478,2,4,2025-12-05 03:26:39.096,2025-12-05 12:26:39.096,,,ok,,状态查询 - AI,b5d21270a6f67879106a6b5881faf2e1,2025-12-05 11:26:39,2025-12-05 11:26:39
48,997041478,2,4,2025-12-05 03:36:39.438,2025-12-05 12:36:39.438,,,ok,,状态查询 - AI,95fdb5001d87ee26c1bdf689de2e11f2,2025-12-05 11:36:39,2025-12-05 11:36:39
49,997041478,2,4,2025-12-05 03:46:39.687,2025-12-05 12:46:39.687,,,ok,,状态查询 - AI,cca47b4dbe7bcb1994da50501d59dbb6,2025-12-05 11:46:39,2025-12-05 11:46:39
50,997041478,2,4,2025-12-05 03:56:39.917,2025-12-05 12:56:39.917,,,ok,,状态查询 - AI,bfbeecf3bbe8d4b436bb269c65c2b32f,2025-12-05 11:56:40,2025-12-05 11:56:40
51,997041478,2,4,2025-12-05 04:06:40.046,2025-12-05 13:06:40.046,,,ok,,状态查询 - AI,fc599f7f0a259819ac0be27026771b60,2025-12-05 12:06:40,2025-12-05 12:06:40
